id,name,team_id,team_name,position,price,ownership,status,chance,minutes,total_points,form,ppg,ep_next,ep_this,goals,assists,clean_sheets,bonus,bps,ict,creativity,threat,influence,starts,news,fixture_next3,fixture_next6,expected_minutes,expected_gw_points,value,captain_score,differential_score,transfer_score,recommendation
549,Talbi,20,Sunderland,MID,5.5,0.2,a,100.0,1553.0,83.0,0.0,3.0,2.0,0.0,4.0,2.0,7.0,6.0,248.0,69.1,211.5,245.0,238.8,16.0,,0.6666666666666666,0.5,69.0,2.203,0.40054545454545454,32.95916666666666,15.054224646464647,3.0714704924242424,BUY
525,Fernandes,19,Spurs,MID,6.0,2.4,a,100.0,3017.0,135.0,0.0,3.8,2.1,0.0,3.0,4.0,8.0,7.0,659.0,146.3,622.8,183.0,657.2,35.0,,0.5833333333333334,0.5,67.5,2.333,0.38883333333333336,34.09041666666667,15.517950000000003,3.069426145833334,WATCH
200,Lacroix,6,Chelsea,DEF,6.0,10.6,a,100.0,3085.0,154.0,0.0,4.4,2.8,0.0,1.0,2.0,11.0,11.0,529.0,124.3,106.4,316.0,822.0,35.0,,0.4166666666666667,0.5,69.4,2.472,0.412,34.72860555555555,15.905650962962968,3.0667234,BUY
336,Okafor,13,Leeds,MID,6.0,0.6,a,100.0,1553.0,109.0,0.0,3.9,2.1,0.0,8.0,3.0,6.0,11.0,354.0,115.0,275.0,435.0,438.8,19.0,,0.5,0.4583333333333333,65.8,2.416,0.4026666666666667,34.710763888888884,16.02770725925926,3.0639889,WATCH
417,Dalot,16,Man Utd,DEF,5.0,3.0,a,100.0,2609.0,111.0,0.0,3.3,2.2,0.0,1.0,6.0,7.0,9.0,414.0,119.6,458.5,202.0,535.8,29.0,,0.6666666666666666,0.5416666666666666,69.0,2.159,0.43179999999999996,32.555625,14.640037333333332,3.0610073999999994,BUY
96,Damsgaard,4,Brentford,MID,5.5,0.6,a,100.0,2046.0,113.0,0.0,3.4,2.0,0.0,4.0,4.0,5.0,9.0,467.0,155.0,691.3,326.0,530.6,24.0,,0.5833333333333334,0.4583333333333333,67.2,2.296,0.4174545454545454,33.67729166666666,15.46507296969697,3.060042636363636,WATCH
418,Maguire,16,Man Utd,DEF,5.0,12.4,a,100.0,1649.0,90.0,0.0,3.9,2.2,0.0,1.0,2.0,7.0,5.0,315.0,63.0,62.5,184.0,381.6,19.0,,0.6666666666666666,0.5416666666666666,67.8,2.239,0.4478,32.278958333333335,14.345411022222223,3.0547699466666667,BUY
86,Lewis-Potter,4,Brentford,MID,5.5,0.5,a,100.0,1960.0,115.0,0.0,3.2,2.0,0.0,3.0,4.0,9.0,5.0,356.0,106.4,332.2,353.0,378.2,22.0,,0.5833333333333334,0.4583333333333333,68.6,2.266,0.412,33.40840277777777,15.393366518518517,3.0539111666666665,WATCH
142,James,6,Chelsea,DEF,5.5,8.9,a,100.0,1957.0,115.0,0.0,4.0,2.5,0.0,2.0,6.0,8.0,11.0,493.0,106.1,483.7,116.0,459.0,20.0,,0.4166666666666667,0.5,69.4,2.409,0.43799999999999994,33.60180555555555,15.70957837037037,3.05256575,BUY
531,Ellborg,20,Sunderland,GK,4.5,0.1,a,100.0,270.0,16.0,0.0,5.3,1.9,0.0,0.0,0.0,1.0,3.0,62.0,7.4,0.0,0.0,73.6,3.0,,0.6666666666666666,0.5,69.0,2.096,0.4657777777777778,24.347166666666666,14.54948148148148,3.048379944444444,BUY
